Window,Renyi Entropy,,
100,1.662880301,,
200,1.870450852,,
300,2.26779732,,
400,2.235010397,8.036138,
500,1.359304991,,
600,1.143872056,,
700,1.108625537,,
800,1.177735891,,
900,1.515473224,6.30501,
1000,1.045390437,,
1100,0.951306758,,
1200,1.124025789,,
1300,1.125080648,,
1400,1.429811974,,
1500,1.213602614,,
1600,1.361122363,8.250341,
1700,0.921165733,,
1800,1.012928865,,
1900,1.013650135,,
2000,0.950555433,,
2100,1.444702338,,
2200,0.493779952,,
2300,0.981152851,,
2400,1.465210529,,
2500,2.113979328,10.397125,
,,,
,,32.988614,
,,,
,,,1.31954456
