Training Round,Loss Value,Validation Loss
1,,
2,0.10849873,0.07560332
3,0.0581597,0.07458838
4,0.0565055,0.07709784
5,0.05540035,0.05832952
6,0.05495189,0.05559416
7,0.05526282,0.05679939
8,0.05297506,0.05399356
9,0.05346999,0.05412075
10,0.05297892,0.0521781
11,0.05352761,0.0531599
12,0.0525297,0.05316249
13,0.0527617,0.05219575
14,0.05276197,0.05330839
15,0.05239134,0.05339297
16,0.05189016,0.05247966
17,0.0523048,0.05236017
18,0.05177024,0.05206264
19,0.05118353,0.05247573
20,0.05313824,0.05481648
21,0.05249904,0.05329541
22,0.05252334,0.05288185
23,0.05148679,0.0525093
24,0.05169589,0.05245785
25,0.05088141,0.05104169
26,0.05157884,0.05110521
27,0.05228476,0.05246834
28,0.05262455,0.05387789
29,0.05239741,0.05331583
30,0.05204215,0.05277256
31,0.05215748,0.05173767
32,0.05080506,0.05364275
33,0.05112563,0.0503802
34,0.05118653,0.05090975
35,0.05042929,0.05084826
36,0.05175903,0.05200896
37,0.0511357,0.05151214
38,0.05150845,0.0527548
39,0.05199527,0.05232805
40,0.05176262,0.05200336
41,0.05252838,0.05221261
42,0.05257224,0.05183128
43,0.05246393,0.0513385
44,0.05176206,0.05183388
45,0.05210724,0.0529875
46,0.05271305,0.05320654
47,0.05157354,0.05093425
48,0.0519456,0.05230937
49,0.05203592,0.0524538
50,0.05398432,0.05364459
,0.05273127,0.052944657
